LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ABR32104;5502-00-5029944P;výztuha předního nárazníku - hlíníková;9834979580;OPEL | MOKKA [06\20-] | 1.2 (76) (1199ccm\100kW\136HP) [12\22-];173;OP67A18A;1
ST-ABR32230-4;5502-00-5025941P;výztuha předního nárazníku;13399233;OPEL | CORSA E (X15) [09\14-] | 1.0 (08, 68) (999ccm\66kW\90HP) [09\14-];3864;UOE07-35660;77
ST-ABR32910-1;5502-00-5029940P;výztuha předního nárazníku;42514348;OPEL | MOKKA / MOKKA X (J13) [06\12-12\19] | 1.4 (_76) (1364ccm\103kW\140HP) [04\13-12\19];5160;BK6A17B;124
ST-ABR32920-2;5502-00-5054944P;výztuha předního nárazníku;13423602;OPEL | ASTRA K (B16) [06\15-12\22] | 1.0 Turbo (68) (999ccm\66kW\90HP) [06\18-12\22];7053;OP0069-005BA;169
ST-ABR32940;5502-00-5080940P;výztuha nárazníku;1405267;OPEL | KARL (C16) [01\15-03\19] | 1.0 (999ccm\54kW\73HP) [01\18-03\19];14;OP04A18A;1
ST-ABR34650;5502-00-5547942P;výztuha předního nárazníku - hlíníková;9822100180;CITROËN | C5 AIRCROSS (A_) [11\18-] | 1.2 Hybrid 136 (ARHPYJ) (1199ccm\100kW\136HP) [05\23-];6073;CR32A18A;146
ST-ABR34650-1;5502-00-0540980P;výztuha zadního nárazníku - hlíníková;3552278;CITROËN | C5 AIRCROSS (A_) [11\18-] | 1.2 Hybrid 136 (ARHPYJ) (1199ccm\100kW\136HP) [05\23-];6399;PG31B87A;154
ST-ABR34690-3;5502-00-5518982P;výztuha zadního nárazníku;9825456380;OPEL | CORSA F (P2JO) [07\19-] | 1.2 (68) (1199ccm\55kW\75HP) [07\19-];540;PGE483Q2;9
ST-ABR34710;5502-00-0542940P;výztuha předního nárazníku - hlíníková;9826115680;CITROËN | C4 III (BA_, BB_, BC_) [10\20-] | 1.2 PureTech 100 (BAHNEA, BAHNKA) (1199ccm\74kW\101HP) [04\21-];537;PG15B17A;9
ST-ABR34710-1;5502-00-5509982P;výztuha zadního nárazníku;9824785280;PEUGEOT | 2008 II (UD_, US_, UY_, UJ_, UR_, UC_) [08\19-] | 1.0 T200 (998ccm\88kW\120HP) [07\24-];105;PG15B87A;1
ST-ABR34720;5502-00-5521980P;výztuha zadního nárazníku;9835234880;PEUGEOT | 308 III (FB_, FH_, FP_, F3_, FM_) [07\21-] | BlueHDi 130 (FBYHZL, FBYHZT) (1499ccm\96kW\131HP) [07\21-];76;P2-30821-W1;1
ST-ABR34720-1;5502-00-5055940P;výztuha předního nárazníku - hlíníková;9835954880;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];196;OP44057BS;2
ST-ABR36105;5502-00-6011981P;výztuha nárazníku;756101976R;MERCEDES-BENZ | CITAN dodávka (415) [11\12-08\21] | 108 CDI (415.601, 415.603) (1461ccm\55kW\75HP) [11\12-08\21];7465;RN0611-025AA;90
ST-ABR36770;5502-00-6063940P;výztuha předního nárazníku;4422359;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5650;RN44073B;136
ST-ABR40290-1;5502-00-7523940P;výztuha předního nárazníku;5E3807109A;ŠKODA | OCTAVIA IV (NX3, NN3, PV3) [01\20-] | 1.0 TSI (999ccm\81kW\110HP) [06\20-];5043;SD24B17B;121
ST-ABR40330;5502-00-7528940P;výztuha předního nárazníku;565807109C;ŠKODA | KODIAQ I (NS6, NS7, NV7) [10\16-] | 1.4 TSI (1395ccm\110kW\150HP) [10\16-];9823;SDE467;236
ST-ABR40380;5502-00-7531940P;výztuha předního nárazníku;6VA807109A;ŠKODA | FABIA IV (PJ3) [06\21-] | 1.0 MPI (999ccm\48kW\65HP) [08\21-];1393;SD13B17A;22
